index,iteration,cons_name,cons_data_id,label
0,0,Recall,NA,NA
1,0,Precision,NA,NA
2,0,F1-Score,NA,NA
3,1,Recall,NA,NA
4,1,Precision,NA,NA
5,1,F1-Score,NA,NA
6,1,Critical-Items,"2" || "85" || "342",NA
7,2,Recall,NA,NA
8,2,Precision,NA,NA
9,2,F1-Score,NA,NA
10,2,Critical-Items,"2" || "85" || "342",NA
11,2,Similarity-Metric,"202" || "12" || "9",Similar
12,3,Recall,NA,NA
13,3,Precision,NA,NA
14,3,F1-Score,NA,NA
15,3,Critical-Items,"2" || "85" || "342",NA
16,3,Similarity-Metric,"202" || "12" || "9",Similar
17,3,Non-Critical,"175" || "280",NA
