iteration,model_id,testDataLoss,trainDataLoss,param_space,feature_imp,model_name,test_acc,test_prec,test_recall
0,0,-0.36004273504273504,-1.573506692503623,"learning_rate":38 || "max_samples":14 || "max_iter":31 || "bootstrap":1 || "solver":0 || "activation":1 || "alphaNB":77 || "fit_prior":0 || "bootstrapB":0 || "min_samples_leaf":2 || "n_estimators":53 || "max_features":4 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":5 || "alpha":31 || "lag":3 || "max_depth":2 || "learning_rate_init":65 || "hidden_layer_sizes":0,"totalBen":0.14703476172758795 || "retirement":0.08651463430431647 || "totalCompens":0.16618347106075199 || "otherBen":0.08376398445611317 || "totalSal":0.10706712155579592 || "salaries":0.11591422918411329 || "overtime":0.05043945185445662 || "otherSal":0.11584425713949979 || "health":0.06248817303279493 || "year":0.06474991568456985,RandomForest,0.639956744259123,0.2227257029108985,0.06073636090198442
0,1,-0.3493055555555556,-1.4562680793855827,"learning_rate":55 || "max_samples":186 || "max_iter":24 || "bootstrap":1 || "solver":0 || "activation":3 || "alphaNB":22 || "fit_prior":0 || "bootstrapB":0 || "min_samples_leaf":2 || "n_estimators":76 || "max_features":2 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":2 || "alpha":22 || "lag":1 || "max_depth":13 || "learning_rate_init":27 || "hidden_layer_sizes":5,"totalBen":0.12640108017074775 || "retirement":0.09173855800464628 || "totalCompens":0.17545187990406289 || "otherBen":0.09321884743451761 || "totalSal":0.10943965774461828 || "salaries":0.0962863749586634 || "overtime":0.052938487743482164 || "otherSal":0.11780816866819917 || "health":0.08490363934630203 || "year":0.05181330602476043,RandomForest,0.6687546902357826,0.33635489308859373,0.012348566737975741
0,2,-0.3011463844797178,-1.433851732509491,"learning_rate":14 || "max_samples":91 || "max_iter":3 || "bootstrap":0 || "solver":0 || "activation":2 || "alphaNB":72 || "fit_prior":0 || "bootstrapB":0 || "min_samples_leaf":0 || "n_estimators":60 || "max_features":1 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":2 || "alpha":57 || "lag":1 || "max_depth":11 || "learning_rate_init":34 || "hidden_layer_sizes":7,"totalBen":0.13104489457985985 || "retirement":0.10733299105143387 || "totalCompens":0.14989193701365797 || "otherBen":0.1240762893202368 || "totalSal":0.10589841091741412 || "salaries":0.09573201214763079 || "overtime":0.06521475846780295 || "otherSal":0.09142575827874681 || "health":0.08940631444402561 || "year":0.03997663377919121,RandomForest,0.49221187647319065,0.1744065568589721,0.2901831327672984
0,3,-0.35475589225589227,-1.3612214317306504,"learning_rate":12 || "max_samples":195 || "max_iter":16 || "bootstrap":0 || "solver":0 || "activation":3 || "alphaNB":46 || "fit_prior":0 || "bootstrapB":0 || "min_samples_leaf":2 || "n_estimators":48 || "max_features":4 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":6 || "alpha":78 || "lag":3 || "max_depth":6 || "learning_rate_init":36 || "hidden_layer_sizes":5,"totalBen":0.145312641386303 || "retirement":0.09176328182522286 || "totalCompens":0.16237433804478926 || "otherBen":0.08617911392315106 || "totalSal":0.10726822812096112 || "salaries":0.1173094131631619 || "overtime":0.05838478307300943 || "otherSal":0.12361744321054002 || "health":0.06939729489006016 || "year":0.03839346236280118,RandomForest,0.5754985863470752,0.11370825693394052,0.17841137568016097
0,4,-0.26408179012345673,-1.2984542321264947,"learning_rate":26 || "max_samples":86 || "max_iter":61 || "bootstrap":0 || "solver":0 || "activation":1 || "alphaNB":61 || "fit_prior":1 || "bootstrapB":1 || "min_samples_leaf":5 || "n_estimators":81 || "max_features":4 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":4 || "alpha":87 || "lag":3 || "max_depth":5 || "learning_rate_init":2 || "hidden_layer_sizes":10,"totalBen":0.13290047315843792 || "retirement":0.06545960581842629 || "totalCompens":0.16903614223828844 || "otherBen":0.11255231087434636 || "totalSal":0.1098699247186373 || "salaries":0.12802811462462257 || "overtime":0.050215829377820695 || "otherSal":0.12971846629857786 || "health":0.07992273168517898 || "year":0.022296401205663553,RandomForest,0.7687771938745557,0.47513724963345577,0.674190812529437
1,0,-0.3311191626409018,-1.470745342761384,"learning_rate":76 || "max_samples":140 || "max_iter":51 || "bootstrap":0 || "solver":0 || "activation":1 || "alphaNB":30 || "fit_prior":0 || "bootstrapB":0 || "min_samples_leaf":2 || "n_estimators":88 || "max_features":1 || "criterion":1 || "bootstrap_features":1 || "min_samples_split":6 || "alpha":68 || "lag":3 || "max_depth":3 || "learning_rate_init":32 || "hidden_layer_sizes":8,"totalBen":0.1538783842532944 || "retirement":0.09306058558402217 || "totalCompens":0.16530563272592108 || "otherBen":0.1023052357971493 || "totalSal":0.11061567242832596 || "salaries":0.11056740062140229 || "overtime":0.053826419624608636 || "otherSal":0.11400927236223976 || "health":0.06748506181079232 || "year":0.02894633479224413,RandomForest,0.473151736937664,0.013128047090200573,0.06238267470633296
1,1,-0.3880892255892256,-1.4269207523357104,"learning_rate":20 || "max_samples":47 || "max_iter":1 || "bootstrap":1 || "solver":0 || "activation":2 || "alphaNB":65 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":7 || "n_estimators":5 || "max_features":3 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":2 || "alpha":45 || "lag":1 || "max_depth":6 || "learning_rate_init":29 || "hidden_layer_sizes":7,"totalBen":0.1184548035624539 || "retirement":0.08793672621138579 || "totalCompens":0.16855620862681908 || "otherBen":0.10447201435610295 || "totalSal":0.13014124000708802 || "salaries":0.060581361371644674 || "overtime":0.053543060307055454 || "otherSal":0.1300175858718257 || "health":0.08588550248213744 || "year":0.060411497203486965,RandomForest,0.623832211979671,0.4042041040400274,0.37383633526161997
1,2,-0.43446791862284817,-1.3467948153144569,"learning_rate":82 || "max_samples":49 || "max_iter":26 || "bootstrap":0 || "solver":0 || "activation":2 || "alphaNB":76 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":7 || "n_estimators":44 || "max_features":1 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":4 || "alpha":92 || "lag":4 || "max_depth":17 || "learning_rate_init":60 || "hidden_layer_sizes":3,"totalBen":0.12727355360384335 || "retirement":0.06763374847213069 || "totalCompens":0.19561731801290874 || "otherBen":0.11102099935189039 || "totalSal":0.09323616856019146 || "salaries":0.11330804718933352 || "overtime":0.07075639715819734 || "otherSal":0.11144153321264447 || "health":0.09092847503978545 || "year":0.018783759399074597,RandomForest,0.5735528653971235,0.37563685700572363,0.7194940867614934
1,3,-0.3866747181964574,-1.3405141625514354,"learning_rate":13 || "max_samples":183 || "max_iter":68 || "bootstrap":0 || "solver":0 || "activation":3 || "alphaNB":6 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":3 || "n_estimators":87 || "max_features":1 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":1 || "alpha":65 || "lag":2 || "max_depth":13 || "learning_rate_init":31 || "hidden_layer_sizes":8,"totalBen":0.1422048029750474 || "retirement":0.09808913463801619 || "totalCompens":0.15312792726290408 || "otherBen":0.11622727909509604 || "totalSal":0.11114500075508431 || "salaries":0.1187109784919648 || "overtime":0.05662694953579635 || "otherSal":0.09436973738354068 || "health":0.0730952677344709 || "year":0.036402922128079294,RandomForest,0.7288136913258103,0.017012388475187323,0.34365657182698617
1,4,-0.26408179012345673,-1.2897188469335175,"learning_rate":43 || "max_samples":41 || "max_iter":59 || "bootstrap":0 || "solver":0 || "activation":1 || "alphaNB":43 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":8 || "n_estimators":65 || "max_features":4 || "criterion":1 || "bootstrap_features":1 || "min_samples_split":0 || "alpha":56 || "lag":1 || "max_depth":10 || "learning_rate_init":60 || "hidden_layer_sizes":3,"totalBen":0.12216150413028418 || "retirement":0.07439855756583882 || "totalCompens":0.20029245899122156 || "otherBen":0.10654654028845016 || "totalSal":0.09647533116837055 || "salaries":0.10546790890367423 || "overtime":0.07343862485774649 || "otherSal":0.11492879339017721 || "health":0.08685681002056507 || "year":0.019433470683671645,RandomForest,0.35471856392094425,0.2115632388369759,0.112182846084289
2,0,-0.47263824884792627,-1.5876601133684245,"learning_rate":61 || "max_samples":118 || "max_iter":84 || "bootstrap":0 || "solver":0 || "activation":1 || "alphaNB":44 || "fit_prior":0 || "bootstrapB":0 || "min_samples_leaf":0 || "n_estimators":85 || "max_features":1 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":4 || "alpha":20 || "lag":2 || "max_depth":18 || "learning_rate_init":38 || "hidden_layer_sizes":7,"totalBen":0.13690180433290733 || "retirement":0.11183007884399856 || "totalCompens":0.16864388790950482 || "otherBen":0.09892740444348687 || "totalSal":0.107174359480065 || "salaries":0.08456677021967549 || "overtime":0.05767321333170825 || "otherSal":0.11304635861529597 || "health":0.08304653073261761 || "year":0.0381895920907401,RandomForest,0.6604968664226732,0.1579243012625383,0.29974855010949786
