iteration,model_id,testDataLoss,trainDataLoss,param_space,feature_imp,model_name,test_acc,test_prec,test_recall
0,0,-0.29966832504145935,-1.5264298921727697,"learning_rate":99 || "max_samples":36 || "max_iter":54 || "bootstrap":0 || "solver":0 || "activation":0 || "alphaNB":63 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":5 || "n_estimators":45 || "max_features":0 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":0 || "alpha":93 || "lag":0 || "max_depth":0 || "learning_rate_init":83 || "hidden_layer_sizes":7,"totalBen":0.0972607923309981 || "retirement":0.07667237430610233 || "totalCompens":0.1745850249580503 || "otherBen":0.04342127090155863 || "totalSal":0.12513475898182708 || "salaries":0.05918970640736902 || "overtime":0.10457579721198666 || "otherSal":0.1983630984929603 || "health":0.10059391021393942 || "year":0.020203266195208146,RandomForest,0.6664889007559086,0.28459792913152326,0.30948308122959595
0,1,-0.3123931623931624,-1.4873684285316287,"learning_rate":16 || "max_samples":11 || "max_iter":39 || "bootstrap":1 || "solver":0 || "activation":1 || "alphaNB":4 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":5 || "n_estimators":67 || "max_features":0 || "criterion":1 || "bootstrap_features":1 || "min_samples_split":4 || "alpha":99 || "lag":4 || "max_depth":21 || "learning_rate_init":32 || "hidden_layer_sizes":10,"totalBen":0.07811103656953014 || "retirement":0.16246943951846696 || "totalCompens":0.0937053711051503 || "otherBen":0.08180811712221112 || "totalSal":0.07625763833973631 || "salaries":0.08256295408517242 || "overtime":0.11530455310914886 || "otherSal":0.17484896507866549 || "health":0.04416287823590395 || "year":0.09076904683601447,RandomForest,0.6752607841341063,0.0066524064959691265,-0.06065575178168822
0,2,-0.3282271241830065,-1.4787262942107648,"learning_rate":50 || "max_samples":107 || "max_iter":68 || "bootstrap":1 || "solver":0 || "activation":0 || "alphaNB":8 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":9 || "n_estimators":23 || "max_features":3 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":1 || "alpha":70 || "lag":0 || "max_depth":23 || "learning_rate_init":24 || "hidden_layer_sizes":12,"totalBen":0.07428151588359636 || "retirement":0.11165047539070097 || "totalCompens":0.07828209139915139 || "otherBen":0.08451604394171282 || "totalSal":0.08702617122646504 || "salaries":0.07309093386420319 || "overtime":0.1721606216513172 || "otherSal":0.1837711764935485 || "health":0.04799306124992357 || "year":0.087227908899381,RandomForest,0.33375431052433857,0.25771761615452793,0.06870443691665715
0,3,-0.36717138225758916,-1.4737850965605732,"learning_rate":24 || "max_samples":142 || "max_iter":52 || "bootstrap":1 || "solver":0 || "activation":3 || "alphaNB":49 || "fit_prior":1 || "bootstrapB":1 || "min_samples_leaf":1 || "n_estimators":82 || "max_features":3 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":1 || "alpha":95 || "lag":3 || "max_depth":22 || "learning_rate_init":51 || "hidden_layer_sizes":11,"totalBen":0.058265858876021294 || "retirement":0.12217387400119076 || "totalCompens":0.12332233011071206 || "otherBen":0.09270579218518175 || "totalSal":0.113074664449865 || "salaries":0.12212080874650925 || "overtime":0.1023257186426018 || "otherSal":0.15441190057848914 || "health":0.051957219409445955 || "year":0.05964183299998299,RandomForest,0.47444164986106824,0.22574378452082813,0.19252618737048066
0,4,-0.3297955974842767,-1.4723309856259874,"learning_rate":25 || "max_samples":126 || "max_iter":62 || "bootstrap":1 || "solver":0 || "activation":0 || "alphaNB":38 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":0 || "n_estimators":61 || "max_features":1 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":2 || "alpha":8 || "lag":2 || "max_depth":18 || "learning_rate_init":38 || "hidden_layer_sizes":2,"totalBen":0.07834076213593896 || "retirement":0.14277047436570384 || "totalCompens":0.0828078319333903 || "otherBen":0.1178455377329883 || "totalSal":0.09982043112551565 || "salaries":0.125000265420727 || "overtime":0.08562984589031226 || "otherSal":0.1533638391570639 || "health":0.055333381925875016 || "year":0.05908763031248474,RandomForest,0.30232499930993595,0.2155102971227271,0.2863449673642595
1,0,-0.5249863834422658,-1.46907297664165,"learning_rate":66 || "max_samples":0 || "max_iter":50 || "bootstrap":1 || "solver":0 || "activation":2 || "alphaNB":85 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":8 || "n_estimators":33 || "max_features":4 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":0 || "alpha":4 || "lag":1 || "max_depth":2 || "learning_rate_init":78 || "hidden_layer_sizes":1,"totalBen":0.08097738453909453 || "retirement":0.12050925043624786 || "totalCompens":0.08125707293881738 || "otherBen":0.07050498801273725 || "totalSal":0.08733435041164957 || "salaries":0.07152358700291124 || "overtime":0.16646074044666118 || "otherSal":0.175686665233028 || "health":0.044511003960463924 || "year":0.10123495701838911,RandomForest,0.7226005952306859,0.30580147303345523,0.40683772975316324
1,1,-0.4313271604938272,-1.3649594136544916,"learning_rate":85 || "max_samples":60 || "max_iter":69 || "bootstrap":1 || "solver":0 || "activation":2 || "alphaNB":73 || "fit_prior":1 || "bootstrapB":1 || "min_samples_leaf":7 || "n_estimators":80 || "max_features":0 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":4 || "alpha":73 || "lag":2 || "max_depth":9 || "learning_rate_init":5 || "hidden_layer_sizes":10,"totalBen":0.09056985477854082 || "retirement":0.14239385839023677 || "totalCompens":0.08671181146849857 || "otherBen":0.07872236112528552 || "totalSal":0.08391869098273971 || "salaries":0.09147232235416738 || "overtime":0.127115084980365 || "otherSal":0.17752307405123963 || "health":0.03344941478396332 || "year":0.08812352708496328,RandomForest,0.7179453080427679,0.22866081579755262,0.2694102252720399
1,2,-0.3135850694444444,-1.3060266468453965,"learning_rate":41 || "max_samples":240 || "max_iter":69 || "bootstrap":0 || "solver":0 || "activation":0 || "alphaNB":1 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":6 || "n_estimators":38 || "max_features":1 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":6 || "alpha":15 || "lag":3 || "max_depth":14 || "learning_rate_init":36 || "hidden_layer_sizes":3,"totalBen":0.12429590333060507 || "retirement":0.05430781173437628 || "totalCompens":0.1589286257211413 || "otherBen":0.032922709749534027 || "totalSal":0.16411617822779678 || "salaries":0.07334952014919734 || "overtime":0.09263065727080082 || "otherSal":0.15808060065508223 || "health":0.10664076021675557 || "year":0.034727232944710563,RandomForest,0.6748805272328725,0.1285308809548619,0.09123324933693025
1,3,-0.33289241622574955,-1.2986356442809743,"learning_rate":52 || "max_samples":57 || "max_iter":42 || "bootstrap":1 || "solver":0 || "activation":2 || "alphaNB":16 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":3 || "n_estimators":79 || "max_features":3 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":2 || "alpha":89 || "lag":0 || "max_depth":14 || "learning_rate_init":60 || "hidden_layer_sizes":3,"totalBen":0.06591938538930028 || "retirement":0.13795706417205852 || "totalCompens":0.12680057592918886 || "otherBen":0.0794324804045417 || "totalSal":0.08289184054081225 || "salaries":0.11916770303705655 || "overtime":0.10920914946509117 || "otherSal":0.17914585437270616 || "health":0.03704086779292939 || "year":0.0624350788963151,RandomForest,0.7773763331828155,0.6388335669113994,0.6681434737649697
1,4,-0.3191919191919192,-1.2952378053805993,"learning_rate":38 || "max_samples":101 || "max_iter":82 || "bootstrap":1 || "solver":0 || "activation":1 || "alphaNB":74 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":8 || "n_estimators":39 || "max_features":5 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":4 || "alpha":84 || "lag":4 || "max_depth":11 || "learning_rate_init":28 || "hidden_layer_sizes":8,"totalBen":0.08744074197108473 || "retirement":0.12758797290574597 || "totalCompens":0.08873375012670599 || "otherBen":0.05541784354767541 || "totalSal":0.09260011093145834 || "salaries":0.08620710582571864 || "overtime":0.14736048395974305 || "otherSal":0.1747744721807905 || "health":0.0423987764338629 || "year":0.09747874211721456,RandomForest,0.5271598579465195,-0.01376085892974846,-0.0027929490538733115
