Year,target_variable,Department,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
2016,Public Protection,District Attorney,Attorney (Civil/Criminal),49919,114473.16,0,1500,115973.16,21025.98,13068.8,9368.71,43463.49,159436.65
2013,Culture & Recreation,Arts Commission,Senior Management Assistant,1225,84077.11,0,0,84077.11,16587.3,12457.73,6931.91,35976.94,120054.05
2015,Community Health,Public Health,Eligibility Worker,34873,9980.17,0,798.43,10778.6,0,2254.93,835.11,3090.04,13868.64
2015,Community Health,Public Health,Dental Aide,51145,2873.41,0,0,2873.41,0,622.63,222.46,845.09,3718.5
2014,Culture & Recreation,Recreation and Park Commission,Recreation Leader,48705,6701.85,0,176.7,6878.55,0,2711.66,538.43,3250.09,10128.64
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,"Stdntdsgntrain1, Arch/Eng/Plng",19801,45321.18,0,0,45321.18,9386.03,11780.6,3486.34,24652.97,69974.15
2015,Culture & Recreation,Public Library,Library Assistant,14135,28305.5,0,1193.14,29498.64,6616.52,5793.48,2430.74,14840.74,44339.38
2014,General Administration & Finance,Assessor/Recorder,Real Property Appraiser,37352,39938.09,0,800,40738.09,8685.34,7269.02,3277.52,19231.88,59969.97
2015,Public Protection,Police,Lieutenant (Police Department),13380,23112,2312.73,20944.16,46368.89,4183.12,1911.46,68.84,6163.42,52532.31
2014,Public Protection,Sheriff,Deputy Sheriff,46569,89101.22,6856.77,5563.78,101521.77,17596.33,12512.55,1627.91,31736.79,133258.56
2015,"Public Works, Transportation & Commerce",Airport Commission,Publ Svc Aide-Asst To Prof,38170,7091.33,0,0,7091.33,0,2361.82,549.01,2910.83,10002.16
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Street Inspector,28940,57467.12,355.65,0,57822.77,11901.38,11933.98,4691.34,28526.7,86349.47
2015,Culture & Recreation,Recreation and Park Commission,Park Section Supervisor,10817,80357,5612.97,7.9,85977.87,16562.14,12424.5,7091.69,36078.33,122056.2
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Operator,21370,64170.89,13128.97,2677.81,79977.67,17109.68,13379.17,6204.01,36692.86,116670.53
2016,Human Welfare & Neighborhood Development,Human Services,Personnel Analyst,37341,83038.01,0,200,83238.01,15490.62,13068.8,6525.06,35084.48,118322.49
2014,General Administration & Finance,General Services Agency - City Admin,Media/Security Sys Spec,34486,92530.82,0,13412.58,105943.4,20224.21,13054.94,8450.17,41729.32,147672.72
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Station Agent, Muni Railway",13061,78639.3,20332.03,7821.87,106793.2,17683.84,12512.54,8707.07,38903.45,145696.65
2015,"Public Works, Transportation & Commerce",PUC Water Department,Water Service Inspector,37594,100655.41,8240.09,16911.85,125807.35,24354.06,12500.56,9962.73,46817.35,172624.7
2016,Community Health,Public Health,Special Nurse,49930,57272.29,0,9765.52,67037.81,0,4171.29,3334.9,7506.19,74544
2015,Human Welfare & Neighborhood Development,Human Services,Eligibility Worker Supervisor,39898,85368.06,307.4,659,86334.46,17731.18,12424.5,6989.63,37145.31,123479.77
2013,Culture & Recreation,Recreation and Park Commission,Painter,12884,66924.09,8749.42,2356.4,78029.91,13643.22,11083.02,6452.96,31179.2,109209.11
2014,Community Health,Public Health,Patient Care Assistant,11367,58535.08,713.52,7502.19,66750.79,13854.97,11221.47,5241.67,30318.11,97068.9
2013,Human Welfare & Neighborhood Development,Human Services,Clerk,13130,28926,0,0,28926,5990.58,8862.78,2311.94,17165.3,46091.3
2016,Community Health,Public Health,Food Service Worker,53022,50527.16,868.12,2433.27,53828.55,11112.94,12535.71,4378.62,28027.27,81855.82
2015,Human Welfare & Neighborhood Development,Human Services,Public Svc Aide-Public Works,38672,20258.75,0,906.7,21165.45,1771.07,8758.68,1714.73,12244.48,33409.93
2013,Public Protection,Police,Fingerprint Technician 1,51618,51015.01,3572.78,871.2,55458.99,10565.26,12801.79,4510.65,27877.7,83336.69
2013,Community Health,Public Health,IS Administrator 2,39302,40786.37,0,0,40786.37,7427.15,7718.01,3306.08,18451.24,59237.61
2014,Community Health,Public Health,IS Business Analyst-Principal,6226,125662.01,0,17420.56,143082.57,26840.33,13054.94,10034.09,49929.36,193011.93
2014,Community Health,Public Health,Health Worker 4,44217,76052.02,880.2,3660.15,80592.37,16829.03,13054.94,6638.31,36522.28,117114.65
2013,Human Welfare & Neighborhood Development,Human Services,Protective Services Worker,25617,95229.04,0,6201.67,101430.71,19926.27,12918.24,8366.84,41211.35,142642.06
2015,Human Welfare & Neighborhood Development,Human Services,Account Clerk,39500,47730.89,0,521.01,48251.9,10822.86,10397.19,3789.77,25009.82,73261.72
2016,Community Health,Public Health,Stationary Engineer,49055,13292.8,0,1080.08,14372.88,653.75,1995.23,1120.17,3769.15,18142.03
2014,Public Protection,Police,Sergeant 3,3327,137982.08,28686.53,42125.2,208793.81,29979.7,13054.94,428.25,43462.89,252256.7
2015,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Architectural Assistant 1,14181,78718.9,0,0,78718.9,17656.73,12500.56,6281.72,36439.01,115157.91
2015,Public Protection,Police,Community Police Services Aide,1454,67286.16,3656.69,2337.32,73280.17,15505.03,12512.53,5803.18,33820.74,107100.91
2015,Culture & Recreation,Recreation and Park Commission,Public Service Trainee,48092,904.06,0,14.31,918.37,0,491.31,71.1,562.41,1480.78
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Parking Control Officer,8516,46738.58,15629.12,2022.76,64390.46,10171.68,10077.1,5062.26,25311.04,89701.5
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Fare Collections Receiver,34336,62811,7539.33,8382.41,78732.74,14020.17,12424.5,6469.2,32913.87,111646.61
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Parking Meter Repairer,13987,71781.5,1588.2,1325,74694.7,14374.07,12918.25,5663.19,32955.51,107650.21
2014,Human Welfare & Neighborhood Development,Human Services,Senior Clerk Typist,42388,56261.25,0,599.45,56860.7,12122.7,11974.47,4706.05,28803.22,85663.92
2013,Public Protection,Police,Police Officer,2594,8200.8,0,0,8200.8,1452.37,1181.7,633.57,3267.64,11468.44
2014,Community Health,Public Health,Physician Assistant,19787,24336.6,0,728.88,25065.48,0,1926.56,1940.57,3867.13,28932.61
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Accountant II,36845,72097.73,0,0,72097.73,14276.97,11734.07,5855.16,31866.2,103963.93
2015,Community Health,Public Health,Registered Nurse,16287,64134.67,0,250,64384.67,12550.62,5636.72,5406.6,23593.94,87978.61
2014,Community Health,Public Health,Pharmacist,45572,145857.03,749.89,2290.73,148897.65,31274.54,13054.94,10123.5,54452.98,203350.63
2013,Public Protection,Fire Department,EMT/Paramedic/Firefighter,9485,125192.74,6674.28,16602.74,148469.76,26907.42,14626.32,371.02,41904.76,190374.52
2015,Community Health,Public Health,Porter,9890,34355.95,540.07,2783.39,37679.41,5935.65,9157.09,2843.73,17936.47,55615.88
2013,Public Protection,Superior Court,Court Interpreter Supervisor,45541,94705.32,0,0,94705.32,16772.24,11178.8,11816.92,39767.96,134473.28
2015,Community Health,Public Health,Diagnostic Imaging Tech I,29631,82771.21,37146.64,7833.5,127751.35,17649.08,10560.83,9797.47,38007.38,165758.73
2015,Public Protection,Police,Police Officer 2,26114,118826.97,11822.94,11618.73,142268.64,25676.99,0,2418.56,28095.55,170364.19
2015,Community Health,Public Health,Nursing Assistant,3594,68373.27,5225.49,10005.32,83604.08,16727.85,12299.34,6814.15,35841.34,119445.42
2015,Culture & Recreation,Public Library,Librarian 1,29083,61956.63,0,889.23,62845.86,13628.8,8171.5,5177.7,26978,89823.86
2013,"Public Works, Transportation & Commerce",Airport Commission,Transit Planner 4,29173,118014.02,0,1150,119164.02,21104.02,12801.79,9444.67,43350.48,162514.5
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Junior Engineer,11661,89028.01,0,0,89028.01,18349.03,12424.48,6932.74,37706.25,126734.26
2014,Public Protection,Police,Police Officer 3,8960,118898.01,4705.05,9828.69,133431.75,25699.92,13054.94,274.8,39029.66,172461.41
2013,Human Welfare & Neighborhood Development,Human Services,Protective Services Supervisor,12365,107082.12,1412.79,6360.26,114855.17,20924.62,12918.24,9373.41,43216.27,158071.44
2016,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Parts Storekeeper,46338,68228.8,16460.26,4581,89270.06,12814.38,13068.8,7274.89,33158.07,122428.13
2015,Public Protection,Police,Deputy Chief 3,27834,72324,0,91397.32,163721.32,15878.52,3345.06,4688.46,23912.04,187633.36
2016,Public Protection,Department of Emergency Management,Public Safetycomm Supv,26131,66378.75,36505.33,6125.47,109009.55,12914.28,8367.53,8674.79,29956.6,138966.15
2015,Community Health,Public Health,Nurse Practitioner,20576,158276.28,0,5588.07,163864.35,27123.24,10502.29,7268,44893.53,208757.88
2014,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,Electrician,13145,94305.02,1492.43,2164.23,97961.68,20825.72,13054.94,7551.38,41432.04,139393.72
2014,Culture & Recreation,War Memorial,Bldg & Grounds Patrol Officer,45475,20804.14,107.38,936.07,21847.59,0,5226.69,1691.44,6918.13,28765.72
2013,Human Welfare & Neighborhood Development,Human Services,Senior Account Clerk,42362,10967,0,0,10967,1997.1,2708.07,871.42,5576.59,16543.59
