id,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,target_variable
0,Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US,sports
1,Buick Skylark 320,15,8,350,165,3693,11.5,70,US,economical
2,Plymouth Satellite,18,8,318,150,3436,11,70,US,utility
3,AMC Rebel SST,16,8,304,150,3433,12,70,US,utility
4,Ford Torino,17,8,302,140,3449,10.5,70,US,economical
5,Ford Galaxie 500,15,8,429,198,4341,10,70,US,economical
6,Chevrolet Impala,14,8,454,220,4354,9,70,US,economical
7,Plymouth Fury iii,14,8,440,215,4312,8.5,70,US,economical
8,Pontiac Catalina,14,8,455,225,4425,10,70,US,economical
9,AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US,economical
10,Plymouth Fury iii,15,8,318,150,4135,13.5,72,US,economical
11,Ford Galaxie 500,14,8,351,153,4129,13,72,US,economical
12,AMC Ambassador SST,17,8,304,150,3672,11.5,72,US,economical
13,Mercury Marquis,11,8,429,208,4633,11,72,US,utility
14,Buick LeSabre Custom,13,8,350,155,4502,13.5,72,US,utility
15,Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72,US,utility
16,Chrysler Newport Royal,13,8,400,190,4422,12.5,72,US,utility
17,AMC Matador (sw),15,8,304,150,3892,12.5,72,US,utility
18,Chevrolet Chevelle Concours (sw),13,8,307,130,4098,14,72,US,utility
19,Ford Gran Torino (sw),13,8,302,140,4294,16,72,US,utility
20,Plymouth Satellite Custom (sw),14,8,318,150,4077,14,72,US,utility
21,Buick Century 350,13,8,350,175,4100,13,73,US,utility
22,AMC Matador,14,8,304,150,3672,11.5,73,US,utility
23,Chevrolet Malibu,13,8,350,145,3988,13,73,US,sports
24,Ford Gran Torino,14,8,302,137,4042,14.5,73,US,sports
25,Dodge Coronet Custom,15,8,318,150,3777,12.5,73,US,sports
26,Mercury Marquis Brougham,12,8,429,198,4952,11.5,73,US,sports
27,Chevrolet Caprice Classic,13,8,400,150,4464,12,73,US,sports
28,Ford LTD,13,8,351,158,4363,13,73,US,sports
29,Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,73,US,sports
30,Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,US,sports
31,Buick Electra 225 Custom,12,8,455,225,4951,11,73,US,sports
32,AMC Ambassador Brougham,13,8,360,175,3821,11,73,US,sports
33,Chevrolet Impala,11,8,400,150,4997,14,73,US,sports
34,Ford Country,12,8,400,167,4906,12.5,73,US,sports
35,Plymouth Custom Suburb,13,8,360,170,4654,13,73,US,sports
