LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,target_variable
20000,2,2,1,24,2,2,3913,3102,0,689,1
120000,2,2,2,26,-1,2,2682,1725,0,1000,1
90000,2,2,2,34,0,0,29239,14027,1518,1500,0
50000,2,2,1,37,0,0,46990,48233,2000,2019,0
50000,1,2,1,57,-1,0,8617,5670,2000,36681,0
50000,1,1,2,37,0,0,64400,57069,2500,1815,0
500000,1,1,2,29,0,0,367965,412023,55000,40000,0
100000,2,2,2,23,0,-1,11876,380,380,601,0
140000,2,3,1,28,0,0,11285,14096,3329,0,0
20000,1,3,2,35,-2,-2,0,0,0,0,0
200000,2,3,2,34,0,0,11073,9787,2306,12,0
260000,2,1,2,51,-1,-1,12261,21670,21818,9966,0
630000,2,2,2,41,-1,0,12137,6500,1000,6500,0
70000,1,2,2,30,1,2,65802,67369,3200,0,1
250000,1,1,2,29,0,0,70887,67060,3000,3000,0
50000,2,3,3,23,1,2,50614,29173,0,1500,0
20000,1,1,2,24,0,0,15376,18010,3200,0,1
320000,1,1,1,49,0,0,253286,246536,10358,10000,0
360000,2,1,1,49,1,-2,0,0,0,0,0
180000,2,1,2,29,1,-2,0,0,0,0,0
130000,2,3,2,39,0,0,38358,27688,3000,1537,0
120000,2,2,1,39,-1,-1,316,316,316,316,1
70000,2,2,2,26,2,0,41087,42445,2007,3582,1
450000,2,1,1,40,-2,-2,5512,19420,19428,1473,1
90000,1,1,2,23,0,0,4744,7070,5757,0,0
50000,1,3,2,23,0,0,47620,41810,1973,1426,0
60000,1,1,2,27,1,-2,-109,-425,0,1000,1
50000,2,3,2,30,0,0,22541,16138,1300,1300,0
50000,2,3,1,47,-1,-1,650,3415,3415,3421,0
50000,1,1,2,26,0,0,15329,16575,1500,1500,0
230000,2,1,2,27,-1,-1,16646,17265,17270,13281,0
50000,1,2,2,33,2,0,30518,29618,1718,1500,1
100000,1,1,2,32,0,0,93036,84071,3023,3511,0
500000,2,2,1,54,-2,-2,10929,4152,4152,22827,0
500000,1,1,1,58,-2,-2,13709,5006,5006,31178,0
160000,1,1,2,30,-1,-1,30265,-131,131,396,0
280000,1,2,1,40,0,0,186503,181328,8026,8060,0
60000,2,2,2,22,0,0,15054,9806,1500,1518,0
50000,1,1,2,25,1,-1,0,780,780,0,1
280000,1,1,2,31,-1,-1,498,9075,9075,0,0
360000,1,1,2,33,0,0,218668,221296,10000,7000,0
70000,2,1,2,25,0,0,67521,66999,3000,4500,0
10000,1,2,2,22,0,0,1877,3184,1500,2927,0
140000,2,2,1,37,0,0,59504,61544,3000,3000,0
40000,2,1,2,30,0,0,18927,21295,3000,5000,0
210000,1,1,2,29,-2,-2,0,0,0,0,1
20000,2,1,2,22,0,0,14028,16484,3000,0,1
150000,2,5,2,46,0,0,4463,3034,1013,1170,1
380000,1,2,2,32,-1,-1,22401,21540,21540,15138,0
20000,1,1,2,24,0,0,17447,18479,1318,1315,0
70000,1,3,2,42,1,2,37042,36171,0,3100,1
100000,2,3,3,43,0,0,61559,51163,2000,1606,0
310000,2,2,1,49,-2,-2,13465,7867,7875,7600,0
180000,2,1,2,25,1,2,41402,41742,1300,2010,0
150000,2,1,2,29,2,0,46224,34993,1600,1718,0
500000,2,1,1,45,-2,-2,1905,3640,3640,162,0
180000,2,3,1,34,0,0,16386,15793,8500,1500,0
180000,2,2,1,34,0,0,175886,173440,8083,7296,0
200000,2,1,2,34,-1,3,1587,1098,0,0,0
400000,2,2,1,29,0,0,400134,398857,17000,15029,0
500000,2,3,1,28,0,0,22848,23638,1516,1300,1
70000,1,2,1,39,0,0,70800,72060,4025,2095,0
50000,1,1,2,29,2,2,24987,24300,0,2700,1
50000,2,2,1,46,0,0,28718,29166,1000,0,1
130000,2,2,1,51,-1,-1,99,0,0,0,0
200000,1,1,1,57,-2,-2,152519,148751,0,0,1
10000,1,2,1,56,2,2,2097,4193,2300,0,1
210000,2,1,2,30,2,-1,300,300,300,1159,0
130000,2,3,2,29,1,-2,-190,-9850,0,0,0
20000,1,5,2,22,2,0,18565,17204,0,1200,0
80000,1,1,2,31,-1,-1,780,0,0,390,0
320000,1,2,2,29,2,2,58267,59246,2500,2500,1
200000,2,2,1,32,-1,-1,9076,5787,5818,15,0
290000,2,1,2,37,1,-2,0,0,0,3155,0
340000,1,1,2,32,-1,-1,3048,5550,5713,23453,0
20000,1,2,2,24,0,0,14619,17216,2850,0,0
50000,1,3,2,25,-1,0,42838,37225,1759,1779,0
300000,2,1,1,45,-1,-1,291,291,291,291,0
30000,2,2,2,22,0,0,28387,29612,1686,1400,1
