critic_reviews,duration,directorFb_likes,actor3Fb_likes,actor1Fb_likes,gross,movie_title,user_votes,cast_fb_likes,faceNumber_poster,user_reviews,budget,title_year,actor2Fb_likes,imdb_score,aspect_ratio,movieFb_likes,target_variable
723,178,0,855,1000,760505847,Avatar ,886204,4834,0,3054,237000000,2009,936,7.9,1.78,33000,0
302,169,563,1000,40000,309404152,Pirates of the Caribbean: At World's End ,471220,48350,0,1238,300000000,2007,5000,7.1,2.35,0,0
813,164,22000,23000,27000,448130642,The Dark Knight Rises ,1144337,106759,0,2701,250000000,2012,23000,8.5,2.35,164000,0
462,132,475,530,640,73058679,John Carter ,212204,1873,1,738,263700000,2012,632,6.6,2.35,24000,0
392,156,0,4000,24000,336530303,Spider-Man 3 ,383056,46055,0,1902,258000000,2007,11000,6.2,2.35,0,0
81,138,0,574,10000,141340178,A Few Good Men ,181879,14619,0,319,40000000,1992,2000,7.6,2.35,0,0
107,101,43,655,2000,51758599,Exit Wounds ,27580,5942,0,232,33000000,2001,1000,5.5,2.35,742,0
100,99,67,330,826,117559438,Big Momma's House ,66941,1790,1,148,30000000,2000,436,5.1,1.85,1000,0
195,89,21,48,614,21426805,The Darkest Hour ,49312,843,0,211,30000000,2011,150,4.9,2.35,0,0
121,99,35,433,3000,35057332,Step Up Revolution ,45394,4863,0,72,33000000,2012,594,6.5,2.35,19000,0
103,97,10,178,18000,28927720,The Watcher ,22220,18688,0,181,33000000,2000,223,5.3,1.85,463,0
192,140,36,336,669,33682273,The Punisher ,124242,2114,1,622,33000000,2004,403,6.5,2.35,4000,0
90,118,41,577,722,4280577,Goal! The Dream Begins ,50919,2859,0,114,10000000,2005,580,6.8,2.35,0,0
258,94,132,317,26000,17120019,Safe ,83097,27759,2,134,30000000,2012,828,6.5,2.35,12000,0
56,124,179,551,11000,8406264,Pushing Tin ,24826,13093,3,175,38000000,1999,617,6,2.35,783,0
197,134,37,504,11000,309125409,Star Wars: Episode VI - Return of the Jedi ,681857,13649,0,647,32500000,1983,1000,8.4,2.35,14000,0
299,124,335,50,14000,34180954,The Reader ,189812,14504,0,370,32000000,2008,388,7.6,1.85,15000,0
152,97,4000,8000,22000,173381405,Elf ,147597,43354,1,395,33000000,2003,11000,6.9,1.85,21000,0
53,123,226,796,3000,104632573,Phenomenon ,63839,5975,1,118,32000000,1996,941,6.4,2.35,0,0
88,101,503,1000,13000,60328558,Scrooged ,61396,18734,1,159,32000000,1988,1000,7,1.85,11000,0
371,131,176,460,722,169076745,Bridesmaids ,218711,3229,6,485,32500000,2011,655,6.8,2.35,27000,0
418,107,133,9000,17000,101470202,This Is the End ,310540,38751,6,669,32000000,2013,11000,6.7,2.35,97000,0
131,103,9,573,826,50041732,Stigmata ,54390,3004,0,398,29000000,1999,724,6.2,2.35,0,0
98,129,88,975,22000,48814909,Men of Honor ,89424,36069,0,224,32000000,2000,9000,7.2,2.35,0,0
119,107,34,1000,23000,57744720,Takers ,46961,31529,5,132,20000000,2010,4000,6.2,2.35,0,0
133,89,16,2000,49000,21784432,The Big Wedding ,37493,74181,8,108,35000000,2013,22000,5.6,2.35,0,0
88,113,14,534,918,37911876,"Big Mommas: Like Father, Like Son ",19671,3500,2,47,32000000,2011,845,4.4,2.35,0,0
522,93,0,355,15000,54696902,Source Code ,379462,16034,3,571,32000000,2011,491,7.5,1.85,56000,0
43,120,155,240,344,36733909,Alive ,38949,2054,3,112,32000000,1993,242,7.1,1.85,0,0
224,98,541,897,8000,35063732,The Number 23 ,164608,10938,1,383,32000000,2007,912,6.4,2.35,10000,0
