id,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
0,Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US
1,Buick Skylark 320,15,8,350,165,3693,11.5,70,US
2,Plymouth Satellite,18,8,318,150,3436,11,70,US
3,AMC Rebel SST,16,8,304,150,3433,12,70,US
4,Ford Torino,17,8,302,140,3449,10.5,70,US
5,Ford Galaxie 500,15,8,429,198,4341,10,70,US
6,Chevrolet Impala,14,8,454,220,4354,9,70,US
7,Plymouth Fury iii,14,8,440,215,4312,8.5,70,US
8,Pontiac Catalina,14,8,455,225,4425,10,70,US
9,AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US
10,Plymouth Fury iii,15,8,318,150,4135,13.5,72,US
11,Ford Galaxie 500,14,8,351,153,4129,13,72,US
12,AMC Ambassador SST,17,8,304,150,3672,11.5,72,US
13,Mercury Marquis,11,8,429,208,4633,11,72,US
14,Buick LeSabre Custom,13,8,350,155,4502,13.5,72,US
15,Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72,US
16,Chrysler Newport Royal,13,8,400,190,4422,12.5,72,US
17,AMC Matador (sw),15,8,304,150,3892,12.5,72,US
18,Chevrolet Chevelle Concours (sw),13,8,307,130,4098,14,72,US
19,Ford Gran Torino (sw),13,8,302,140,4294,16,72,US
20,Plymouth Satellite Custom (sw),14,8,318,150,4077,14,72,US
21,Buick Century 350,13,8,350,175,4100,13,73,US
22,AMC Matador,14,8,304,150,3672,11.5,73,US
23,Chevrolet Malibu,13,8,350,145,3988,13,73,US
24,Ford Gran Torino,14,8,302,137,4042,14.5,73,US
25,Dodge Coronet Custom,15,8,318,150,3777,12.5,73,US
26,Mercury Marquis Brougham,12,8,429,198,4952,11.5,73,US
27,Chevrolet Caprice Classic,13,8,400,150,4464,12,73,US
28,Ford LTD,13,8,351,158,4363,13,73,US
29,Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,73,US
30,Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,US
31,Buick Electra 225 Custom,12,8,455,225,4951,11,73,US
32,AMC Ambassador Brougham,13,8,360,175,3821,11,73,US
33,Chevrolet Impala,11,8,400,150,4997,14,73,US
34,Ford Country,12,8,400,167,4906,12.5,73,US
35,Plymouth Custom Suburb,13,8,360,170,4654,13,73,US
36,Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,73,US
37,Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,US
38,Pontiac Grand Prix,16,8,400,230,4278,9.5,73,US
39,Dodge Dart Custom,15,8,318,150,3399,11,73,US
40,Chevrolet Cavalier 2-door,34,4,112,88,2395,18,82,US
41,Pontiac J2000 SE Hatchback,31,4,112,85,2575,16.2,82,US
42,Dodge Aries SE,29,4,135,84,2525,16,82,US
43,Pontiac Phoenix,27,4,151,90,2735,18,82,US
44,Ford Fairmont Futura,24,4,140,92,2865,16.4,82,US
45,AMC Concord DL,23,4,151,0,3035,20.5,82,US
46,Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,US
47,Mercury Lynx l,36,4,98,70,2125,17.3,82,US
48,Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,US
49,Dodge Charger 2.2,36,4,135,84,2370,13,82,US
50,Chevrolet Camaro,27,4,151,90,2950,17.3,82,US
51,Ford Mustang GL,27,4,140,86,2790,15.6,82,US
52,Dodge Rampage,32,4,135,84,2295,11.6,82,US
53,Ford Ranger,28,4,120,79,2625,18.6,82,US
54,Chevy S-10,31,4,119,82,2720,19.4,82,US
55,Mazda RX2 Coupe,19,3,70,97,2330,13.5,72,Japan
56,Mazda RX3,18,3,70,90,2124,13.5,73,Japan
57,Toyota Mark II,20,6,156,122,2807,13.5,73,Japan
58,Toyota Mark II,19,6,156,108,2930,15.5,76,Japan
59,Mercedes-Benz 280s,16.5,6,168,120,3820,16.7,76,Europe
60,Datsun 810,22,6,146,97,2815,14.5,77,Japan
61,Mazda RX-4,21.5,3,80,110,2720,13.5,77,Japan
62,Audi 5000,20.3,5,131,103,2830,15.9,78,Europe
63,Volvo 264gl,17,6,163,125,3140,13.6,78,Europe
64,Peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe
65,Mercedes Benz 300d,25.4,5,183,77,3530,20.1,79,Europe
66,Audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe
67,Datsun 280-ZX,32.7,6,168,132,2910,11.4,80,Japan
68,Mazda RX-7 GS,23.7,3,70,100,2420,12.5,80,Japan
69,Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe
70,Toyota Cressida,25.4,6,168,116,2900,12.6,81,Japan
71,Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,Japan
72,Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe
73,Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,Europe
74,Peugeot 504,25,4,110,87,2672,17.5,70,Europe
75,Audi 100 LS,24,4,107,90,2430,14.5,70,Europe
76,Saab 99e,25,4,104,95,2375,17.5,70,Europe
77,BMW 2002,26,4,121,113,2234,12.5,70,Europe
78,Volkswagen Super Beetle 117,0,4,97,48,1978,20,71,Europe
79,Opel 1900,28,4,116,90,2123,14,71,Europe
80,Peugeot 304,30,4,79,70,2074,19.5,71,Europe
81,Fiat 124B,30,4,88,76,2065,14.5,71,Europe
82,Audi 100LS,20,4,114,91,2582,14,73,Europe
83,Volvo 144ea,19,4,121,112,2868,15.5,73,Europe
84,Saab 99le,24,4,121,110,2660,14,73,Europe
85,Audi Fox,29,4,98,83,2219,16.5,74,Europe
86,Volkswagen Dasher,26,4,79,67,1963,15.5,74,Europe
87,Opel Manta,26,4,97,78,2300,14.5,74,Europe
88,Fiat 128,24,4,90,75,2108,15.5,74,Europe
89,Fiat 124 TC,26,4,116,75,2246,14,74,Europe
90,Fiat x1.9,31,4,79,67,2000,16,74,Europe
91,Volkswagen Dasher,25,4,90,71,2223,16.5,75,Europe
