num_crit,dur.,dirLike,actLike,gross,title,vote,castLike,facePoster,review,budget,year,target_variable
163,112,52,10000,2445646,Kill the Messenger ,32382,12897,1,99,5000000,2014,2
145,139,55,382,102300000,Mary Poppins ,107408,2045,2,259,6000000,1964,2
10,0,0,1000,0,War & Peace             ,9277,4528,1,44,0,0,2
164,145,0,973,0,Once Upon a Time in the West ,216005,2589,1,565,5000000,1968,2
39,87,2,592,0,Don McKay ,2050,1227,1,17,0,2009,1
271,94,293,18000,32416109,The Men Who Stare at Goats ,109620,32474,0,268,25000000,2009,1
162,63,15,759,26687172,Winnie the Pooh ,15600,1002,0,55,30000000,2011,2
14,60,0,1000,0,The Missing             ,8739,3537,0,28,0,0,2
72,96,30,761,7292175,Outside Providence ,7736,2018,3,100,7000000,1999,1
256,101,0,40000,26505000,A Nightmare on Elm Street ,149285,42918,1,668,1800000,1984,2
248,107,99,17000,16025394,Adventureland ,131180,18983,6,220,0,2009,1
62,104,23,752,6712451,Town & Country ,4102,3133,0,89,90000000,2001,0
173,106,285,8000,100468793,Step Brothers ,212499,11264,2,277,65000000,2008,1
29,97,420,695,41067398,Money Talks ,22748,2530,2,41,25000000,1997,1
295,122,446,23000,53574088,3:10 to Yuma ,237872,33548,1,560,55000000,2007,2
274,96,0,20000,10139254,The Fountain ,190990,24640,0,915,35000000,2006,2
23,95,2,927,4006906,King's Ransom ,3229,4990,7,20,15000000,2005,0
369,100,128,596,56114221,Fantastic Four ,110486,1261,3,695,120000000,2015,0
135,105,125,18000,13101142,Playing for Keeps ,23916,23122,5,50,35000000,2012,1
64,127,73,11000,23209440,One True Thing ,9283,12785,3,112,30000000,1998,2
256,95,9,584,131175,Maggie ,30219,1885,2,200,8500000,2015,1
44,82,6,759,36696761,Recess: School's Out ,6808,2197,0,38,23000000,2001,1
415,97,0,18000,5009677,Moon ,260607,19404,0,485,5000000,2009,2
20,139,133,423,2474000,Jefferson in Paris ,2427,446,1,27,14000000,1995,1
45,68,0,304,18081626,Pooh's Heffalump Movie ,4180,861,0,32,20000000,2005,1
61,124,212,1000,11000000,Cutthroat Island ,21102,3611,3,169,98000000,1995,1
82,87,0,2000,6291602,What Planet Are You From? ,8070,3954,0,91,50000000,2000,1
185,93,4,533,26583369,The Forest ,20837,578,1,127,10000000,2016,0
231,135,162,23000,4001121,I'm Not There. ,48346,36398,0,230,20000000,2007,2
149,91,357,3000,35385560,The Boy Next Door ,27198,4807,1,131,4000000,2015,0
74,82,7,1000,13350177,The Haunting of Molly Hartley ,7904,4856,5,113,5000000,2008,0
75,118,176,18000,66488090,The Bone Collector ,120202,29748,2,397,48000000,1999,1
75,106,36,953,12589108,Under the Same Moon ,5526,2198,1,58,0,2007,2
253,146,0,888,0,The Shining ,610333,2560,0,1320,19000000,1980,2
74,92,83,469,0,Niagara ,11047,683,0,116,1250000,1953,2
274,113,22000,716,25530884,Memento ,845580,1997,0,2067,9000000,2000,2
153,102,22,1000,38087366,Harold & Kumar Escape from Guantanamo Bay ,113918,4065,2,165,12000000,2008,1
357,134,0,15000,83025853,Brokeback Mountain ,259837,39789,0,2254,14000000,2005,2
16,107,8,106,700000,Les visiteurs ,24438,215,1,78,50000000,1993,2
171,90,100,830,1573712,Your Sister's Sister ,21618,973,2,62,125000,2011,1
400,144,258,6000,167007184,Casino Royale ,470483,9125,1,2301,150000000,2006,2
217,118,76,3000,10880926,Dead Man Down ,54147,4253,2,127,30000000,2013,1
18,97,49,878,0,Stargate: The Ark of Truth ,15862,4334,5,42,0,2008,2
451,108,13000,40000,334185206,Alice in Wonderland ,306336,79957,0,736,200000000,2010,1
84,98,21,33000,406035,The Believer ,30314,33441,0,159,1500000,2001,2
69,123,204,436,0,Intolerance: Love's Struggle Throughout the Ages ,10718,481,1,88,385907,1916,2
112,105,2,805,63260,Renaissance ,14325,1185,0,90,14000000,2006,1
142,102,148,8000,93607673,America's Sweethearts ,47573,9176,4,343,48000000,2001,1
117,133,46,683,34667015,Licence to Kill ,74009,2371,0,317,32000000,1989,1
91,126,393,862,0,Red River ,21316,2269,0,162,3000000,1948,2
99,89,0,217,52287414,Stand by Me ,271794,644,2,584,8000000,1986,2
459,85,198,2000,80034302,Cloverfield ,296787,3958,0,2192,25000000,2008,2
160,184,34,486,476270,The Baader Meinhof Complex ,29602,1601,2,110,20000000,2008,2
233,112,21000,17000,95308367,Panic Room ,206104,18141,0,850,48000000,2002,1
198,124,845,650,46975183,Shooter ,256213,1640,0,338,61000000,2007,2
152,90,0,4000,4859475,The Virgin Suicides ,116910,7103,0,520,6000000,1999,2
106,106,208,3000,11146409,Deep Rising ,26551,6558,0,273,45000000,1998,1
41,80,9,17000,3101301,Supercross ,3926,21519,1,38,0,2005,0
28,135,22,837,1877179,The Horseman on the Roof ,4885,1508,1,25,0,1995,2
181,107,162,2000,15854988,Far from Heaven ,36542,2447,2,378,13500000,2002,2
205,118,252,529,19673424,Nine ,37446,619,4,232,80000000,2009,1
